score,sentence1,sentence2,score_binary,similarity
2.4,A woman is playing the guitar.,A man is playing guitar.,0.0,1.0
2.75,A woman is playing the flute.,A man is playing a flute.,0.0,1.0
2.333,A woman is carrying a boy.,A woman is carrying her baby.,0.0,1.0
1.583,A man is playing a guitar.,A man is playing a flute.,0.0,1.0
0.8,A man is finding something.,A woman is slicing something.,0.0,1.0
2.4,The girl sang into a microphone.,The lady sang into the microphone.,0.0,1.0
0.636,A man is speaking.,A man is spitting.,0.0,1.0
1.714,A man is playing a guitar.,A man is playing a trumpet.,0.0,1.0
2.167,A man is playing a flute.,A man is playing guitar.,0.0,1.0
1.0,A man is playing soccer.,A man is playing flute.,0.0,1.0
1.917,A girl is riding a horse.,A girl is riding a bicycle.,0.0,1.0
1.0,A woman is reading.,A woman is kneading dough.,0.0,1.0
1.4,A man is playing a basketball.,A man is playing a piano.,0.0,1.0
2.8,A plane is landing.,A animated airplane is landing.,0.0,1.0
1.4,A man plays a guitar.,A man plays the piano.,0.0,1.0
1.2,A man is playing an electronic keyboard.,A man is playing a flute.,0.0,1.0
0.6,A man is playing a guitar.,A man is eating a banana.,0.0,1.0
1.0,A guy is playing hackysack,A man is playing a key-board.,0.0,1.0
2.6,Batman and Robin fly a helicopter over water.,A helicopter flies over water.,0.0,1.0
2.5,A woman is slicing a potato.,A woman is slicing carrot.,0.0,1.0
1.6,A man is playing a harp.,A woman is playing a guitar.,0.0,1.0
2.375,A man is cutting up a potato.,A man is cutting up carrots.,0.0,1.0
1.25,A man is dancing.,A man is singing.,0.0,1.0
1.25,A man is running.,A man is singing.,0.0,1.0
2.167,A man is playing a flute.,A man is playing guitar.,0.0,1.0
1.4,A man is riding a bike.,A woman is riding a horse.,0.0,1.0
0.4,The man is buttering the bread.,The man is stirring the rice.,0.0,1.0
0.2,A woman is hitting a man.,A woman is taking a bath.,0.0,1.0
1.3,Three men are dancing.,Women are dancing.,0.0,1.0
1.2,A man is speaking.,A man is dancing.,0.0,1.0
1.2,A man is dancing.,A man is speaking.,0.0,1.0
1.8,A man is playing the drums.,A man is playing guitar.,0.0,1.0
1.4,A man is peeling a banana.,A woman is peeling a potato.,0.0,1.0
0.4,A boy is riding a horse.,A monkey is riding a bus.,0.0,1.0
2.25,A man is playing a guitar.,The girl is playing the guitar.,0.0,1.0
2.75,A lion cub tries to climb a fence.,A lion tries to climb over a wall.,0.0,1.0
0.833,A man is playing a guitar.,A man is cleaning a cd.,0.0,1.0
1.8,A woman is chopping an onion.,A woman is chopping garlic with a knife.,0.0,1.0
2.2,The man is playing the keyboards.,A man is playing guitar.,0.0,1.0
0.2,A man is playing flute.,A man is dancing.,0.0,1.0
0.75,A woman is cutting potato.,A woman is riding a horse.,0.0,1.0
1.4,A man is playing the piano.,A man is playing a wooden flute.,0.0,1.0
1.8,A man is standing on a roof top playing a violin.,A man is on a roof dancing.,0.0,1.0
0.8,The lamb is looking at the camera.,A cat looking at the camera.,0.0,1.0
2.4,Two airplanes in the sky.,A plane in the sky.,0.0,1.0
0.8,A black and white photo of an old train station.,A black and white photo of a cat sitting on a sofa.,0.0,1.0
2.2,A bicycle in front of some ruins.,A pink bicycle is in front of a building.,0.0,1.0
0.4,Two people sitting on a large motorcycle.,Two eagles sitting on a long branch.,0.0,1.0
2.6,Two women sitting in lawn chairs.,Two women are sitting in a cafe.,0.0,1.0
0.8,Two white dogs are swimming in the water.,The birds are swimming in the water.,0.0,1.0
1.8,A black and white cat playing with a wool basket.,A black and white cat lying on a blanket.,0.0,1.0
1.0,A group of people sitting on a small sofa next to a kitchen.,A group of people standing near a small child sitting on a horse.,0.0,1.0
2.4,A white cat laying on an office chair.,A white cat laying on a sheet.,0.0,1.0
2.2,Left side of a silver train engine.,A close-up of a black train engine.,0.0,1.0
2.2,Blue couch and twin bed in a living room.,A leather couch and wooden table in a living room.,0.0,1.0
2.2,A woman is laying down on the floor and holding a baby up above her.,A man is laying on the floor holding a baby up above him.,0.0,1.0
2.6,A group of people standing in the street,A woman addressing a diverse group of people standing in the street.,0.0,1.0
2.2,A woman is sitting up asleep with her head resting on her hand.,A man who is resting his head on his hand.,0.0,1.0
2.4,Two dogs fighting in the snow.,Two dogs standing in the snow.,0.0,1.0
2.6,Black and white dog running through water.,A black and white dog is running through grass.,0.0,1.0
1.8,Two girls walking in the ocean.,two girls walking in the street,0.0,1.0
1.6,Three dogs are playing in the white snow.,Two dogs are playing in the grass.,0.0,1.0
2.4,A black dog running through the snow.,A black dog runs through the water.,0.0,1.0
2.4,Two dogs in the snow,Two dogs play in the grass.,0.0,1.0
0.6,A group of people are in the water.,A group of people ride in a race,0.0,1.0
2.6,a dog runs through the long grass.,A dog lays down in the long green grass.,0.0,1.0
2.8,Two dogs are running on the grass in front of the trees.,A brown dog is running on the grass in front of some trees.,0.0,1.0
0.8,A skateboarder jumps off the stairs.,A dog jumps off the stairs.,0.0,1.0
1.6,A white dog is playing with a ball on the beach.,A black and white dog is playing with a tan dog.,0.0,1.0
5.0,A band is performing on a stage.,A band is playing onstage.,1.0,0.0
3.6,A toddler walks down a hallway.,A little girl is walking down a hallway.,1.0,0.0
5.0,A woman puts flour on a piece of meat.,A woman is putting flour onto some meat.,1.0,0.0
3.8,A man is playing a guitar.,A guy is playing an instrument.,1.0,0.0
4.5,Someone is shredding cabbage leaves with a knife.,Someone is chopping some cabbage leaves.,1.0,0.0
3.8,A little boy is vacuuming the floor.,A boy is vacuuming.,1.0,0.0
4.0,A man plays a keyboard.,A person is playing the keyboard.,1.0,0.0
3.0,A man plays the guitar.,The man sang and played his guitar.,1.0,0.0
3.75,One man is breaking cement on another man's chest.,A man breaks cinder blocks on another man.,1.0,0.0
4.0,A chef is preparing some food.,A chef prepared a meal.,1.0,0.0
3.75,A turtle walks over the ground.,A large turtle crawls in the grass.,1.0,0.0
3.4,A baby rhino is walking around his pen with his mother.,A baby rhino is following an adult rhino.,1.0,0.0
5.0,The man used a sword to slice a plastic bottle.,A man sliced a plastic bottle with a sword.,1.0,0.0
4.5,A girl is riding a horse.,The girl trotted the horse.,1.0,0.0
3.8,A woman pours oil into a skillet from a plastic bottle while she is talking.,An older woman is pouring oil into a skillet on the stove.,1.0,0.0
3.0,A man and woman are eating at a table.,A couple are eating a meal and talking.,1.0,0.0
3.2,A girl is playing a flute.,A girl plays a wind instrument.,1.0,0.0
3.091,A child is playing a computer game.,A boy is playing a game on a laptop.,1.0,0.0
4.0,A woman puts cosmetics on her eyelid.,The woman is pencilling on eye shadow.,1.0,0.0
3.4,A woman and man are riding in a car.,A woman driving a car is talking to the man seated beside her.,1.0,0.0
4.5,The lady cut the tail and body of a shrimp.,A woman is cleaning a shrimp.,1.0,0.0
5.0,A woman is putting on sun glasses.,A woman puts on sunglasses.,1.0,0.0
4.4,A person is combing a cat hair.,A person is brushing a cat.,1.0,0.0
3.25,A woman is peeling an onion.,The woman is slicing green onions.,1.0,0.0
4.333,The man is shaking hands with other men.,A man is shaking another mans hand.,1.0,0.0
4.214,A target is being hit with gun fire.,The target was being shot with bullets.,1.0,0.0
3.4,A woman is slicing a big pepper.,A person is cutting a green pepper.,1.0,0.0
4.2,A person is picking a komodo dragon and putting it in a box.,A person is placing a baby komodo dragon into a container.,1.0,0.0
3.0,A tiger is walking around his cage.,A tiger walks around aimlessly.,1.0,0.0
3.8,A person pours cooking oil into a pot.,A person is pouring olive oil into a pot on the stove.,1.0,0.0
3.4,A woman is exercising.,A woman lifts weights.,1.0,0.0
3.8,A child runs into and out of the ocean waves.,A young boy is running toward and from the ocean waves.,1.0,0.0
3.4,A guy is riding a horse.,A man is riding a horse in the desert.,1.0,0.0
3.2,A dog is stealing food from a refrigerator.,The dog took something out of the refrigerator.,1.0,0.0
3.0,A puppy is trying to come out from the sink.,The puppy tried to get out of the tub.,1.0,0.0
3.75,A person is folding a square paper piece.,A person folds a piece of paper.,1.0,0.0
3.0,A baby eats his food.,A baby is being fed peas.,1.0,0.0
3.2,A man is playing a guitar and singing on a stage.,A man is playing the electric guitar.,1.0,0.0
3.0,A person is chopping an herb.,A man is finely chopping a green substance.,1.0,0.0
3.8,A person is whisking eggs in a bowl.,A woman is beating two eggs in a bowl using a wire whisk.,1.0,0.0
3.75,The flag was moving in the air.,A flag is waving.,1.0,0.0
3.1,The baby laughed in his car seat.,A baby is laughing.,1.0,0.0
4.429,The bird is taking a bath under the faucet.,A bird is bathing in a sink.,1.0,0.0
5.0,A man plays the guitar and sings.,A man is singing and playing a guitar.,1.0,0.0
3.4,Someone drew on Washington's face on the dollar.,A person draws on a dollar bill.,1.0,0.0
3.8,A group of four people in a dinner having cake.,Four people eating dessert around a table.,1.0,0.0
3.2,A black and wood colored dining room set in a small apartment.,Black and brown table in living room setting.,1.0,0.0
3.6,A jockey riding a horse in a pen.,A jockey rides a horse at a gallop.,1.0,0.0
4.2,A woman posing by a pillar with a U2 sign.,"a woman is standing by a pillar where ""u2"" is written.",1.0,0.0
3.4,One Asian and one occasion woman in glasses smiling with their thumbs up.,Two women are posing for the camera and giving the thumbs up sign.,1.0,0.0
3.0,A black train moves down the tracks.,A mostly black train on a track.,1.0,0.0
3.2,Several televisions are on the floor and stacked up on top of one another.,"Three televisions, on on the floor, the other two on a box.",1.0,0.0
3.2,A Das Air Cargo plane sits on the runway.,A passenger plane parked on a runway.,1.0,0.0
3.4,A motorcycles is parked near a wall covered with a graffiti scene of a cityscape.,A motorcycle is parked by a mural of a city in the evening.,1.0,0.0
3.2,The bird is sitting on the branch.,A red and brown bird is perched on branches.,1.0,0.0
3.2,Four children looking at barn animals.,Children looking a sheep.,1.0,0.0
3.8,A woman equestrian riding a horse.,The woman is riding on the brown horse.,1.0,0.0
3.8,Train going down the tracks.,A black steam train traveling on the railroad tracks.,1.0,0.0
3.6,Two cats are close together inside and black and white furry enclosure.,"Two baby kittens are sitting inside a cow-schemed, fur-covered dome.",1.0,0.0
3.6,A man jumping his dirt bike.,A man on a bike jumping through the air.,1.0,0.0
3.6,"A long-haired man with a hat standing between two large, half-empty Coke bottles.",A man with a cap and jacket walking between two large bottles.,1.0,0.0
3.2,An AeroMexico jet taxing along a runway.,A silver AreoMexico Jet Liner sitting on the tarmac.,1.0,0.0
3.4,A woman and child push strollers down the sidewalk.,A women and a young girl walking pushchairs along the sidewalk.,1.0,0.0
3.0,A man with glasses and two plastic bottles in the foreground.,A man talking with two water bottles sitting in front of him.,1.0,0.0
4.0,An office with multiple desks and green walls.,Small office space with bright green walls.,1.0,0.0
4.0,A man on a motorcycle performing a wheelie.,Motorcyclist performing a wheelie next to a car.,1.0,0.0
3.4,A white bicycle stands on a floor.,Old style bicycle parked on floor.,1.0,0.0
4.0,Black bird sitting on a concrete slab.,Black bird standing on concrete.,1.0,0.0
3.8,A young blonde girl wearing a smile and a bicycle helmet.,A young girl wearing a bike helmet with a bicycle in the background.,1.0,0.0
3.0,"A young woman with outstretched arms stands in front of a ""Going Places"" bus.",TThe girl is standing in front of the open door of the bus.,1.0,0.0
4.6,Two gray dogs run together over the green grass.,Two grey dogs running in green grass.,1.0,0.0
3.2,German Shephard jumping through black hoop while people watch,A dog jumps through a hoop.,1.0,0.0
4.6,Two white dogs are walking through deep white snow.,Two white dogs walk through a huge bank of mountain snow.,1.0,0.0
3.2,A group of people stand in the sand looking out at the water.,A group of people are standing on the beach in front of some boats.,1.0,0.0
3.2,a skateboard performs a trick off a quarter pipe.,A skateboarder attempts to do a trick over a homemade ramp.,1.0,0.0
3.0,Two dogs are playing on the beach together.,Two black dogs are playing in a grass.,1.0,0.0
4.4,A seated young woman in a hat is reading at a coffee shop.,a woman enjoying her reading at a coffee shop,1.0,0.0
3.0,A brown and white dog with a pink Frisbee in it's mouth is humping over a man's back.,"a dog with a Frisbee in its mouth, jumps over a man.",1.0,0.0
3.4,Three dogs playing in the snow while one dog wears a jacket.,"Three dogs playing in the snow, with a city in the background.",1.0,0.0
3.8,A person wearing scuba gear is swimming underwater water.,A person is scuba diving in very clear blue water.,1.0,0.0
3.6,A black person in black and red is sleeping on a bench with an open black umbrella.,A man sitting up taking a nap on a park bench with an open umbrella protecting him from the sun.,1.0,0.0
